EETrajData1,EETrajData2,EETrajData3,EETrajData4,EETrajData5,EETrajData6
EE X (Mm),EE Y (Mm),EE Z (Mm),EE Roll (Deg),EE Pitch (Deg),EE Yaw (Deg)
1652.63665395578,21.5285859503173,1411.89559094906,-15.6064818838842,-72.0264314681896,-158.414596839027
1654.0902434702,21.66472714566,1411.04258190217,-15.5871774918055,-71.9172256756421,-158.399071866451
1655.54228789784,21.8009099837912,1410.18695040691,-15.567869079558,-71.808015506896,-158.38356332144
1656.99278237419,21.9371339124343,1409.32869925721,-15.5485566135311,-71.6988009851714,-158.368071171655
1658.44172204016,22.0733983787744,1408.46783125558,-15.5292400601036,-71.589582133674,-158.352595384767
1659.88910204203,22.209702829461,1407.60434921312,-15.509919385643,-71.4803589755953,-158.337135928457
1661.33491753151,22.3460467106102,1406.73825594948,-15.4905945565058,-71.3711315341125,-158.321692770417
1662.77916366573,22.4824294678069,1405.8695542929,-15.4712655390372,-71.261899832389,-158.306265878346
1664.2218356073,22.618850546107,1404.99824708014,-15.4519322995708,-71.1526638935739,-158.290855219956
1665.66292852426,22.7553093900398,1404.12433715651,-15.4325948044286,-71.0434237408025,-158.275460762968
1667.10243759016,22.8918054436104,1403.24782737585,-15.4132530199205,-70.9341793971964,-158.260082475112
1668.54035798402,23.0283381503017,1402.36872060053,-15.3939069123445,-70.8249308858633,-158.244720324126
1669.9766848904,23.1649069530768,1401.48701970141,-15.3745564479859,-70.7156782298975,-158.229374277759
1671.41141349937,23.3015112943816,1400.60272755787,-15.3552015931179,-70.6064214523796,-158.214044303767
1672.84453900656,23.4381506161464,1399.71584705775,-15.3358423140008,-70.4971605763767,-158.198730369916
1674.27605661315,23.5748243597891,1398.82638109739,-15.3164785768817,-70.3878956249428,-158.183432443979
1675.70596152591,23.7115319662168,1397.9343325816,-15.297110347995,-70.2786266211183,-158.168150493739
1677.13424895719,23.8482728758282,1397.03970442363,-15.2777375935614,-70.1693535879309,-158.152884486984
1678.56091412497,23.9850465285162,1396.14249954521,-15.2583602797882,-70.0600765483947,-158.137634391514
1679.98595225283,24.1218523636702,1395.24272087646,-15.2389783728691,-69.9507955255113,-158.122400175132
1681.40935857001,24.2586898201781,1394.34037135597,-15.2195918389837,-69.8415105422691,-158.107181805652
1682.83112831141,24.3955583364287,1393.43545393073,-15.2002006442973,-69.7322216216437,-158.091979250894
1684.2512567176,24.5324573503144,1392.52797155613,-15.1808047549613,-69.6229287865982,-158.076792478683
1685.66973903482,24.6693862992329,1391.61792719596,-15.1614041371121,-69.513632060083,-158.061621456854
1687.08657051504,24.8063446200903,1390.70532382239,-15.1419987568716,-69.4043314650359,-158.046466153247
1688.50174641595,24.9433317493026,1389.79016441599,-15.1225885803465,-69.2950270243823,-158.031326535708
1689.91526200097,25.0803471227986,1388.87245196567,-15.1031735736286,-69.1857187610353,-158.01620257209
1691.32711253927,25.2173901760221,1387.95218946869,-15.0837537027942,-69.0764066978957,-158.001094230251
1692.7372933058,25.3544603439342,1387.02937993067,-15.0643289339039,-68.9670908578523,-157.986001478056
1694.14579958128,25.4915570610155,1386.10402636555,-15.0448992330029,-68.8577712637815,-157.970924283374
1695.55262665224,25.628679761269,1385.1761317956,-15.0254645661198,-68.7484479385482,-157.955862614081
